#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
JBH,20130510,10:03:44.584,ENTER,17.470,210,0,3668.7,,0,,6267643730648569470,A,,,,,299
JBH,20130510,10:03:44.587,ENTER,17.630,210,0,3702.3,,0,,6267643730648569471,A,,,,,299
JBH,20130510,10:03:49.325,ENTER,16.990,1500,0,25485,,0,,6267643730648569657,A,,,,,603
JBH,20130510,10:03:49.328,AMEND,17.000,1076,,18292,,0,,6267643730648534898,A,09:46:58,17.050,1076,,150
JBH,20130510,10:03:49.579,AMEND,17.510,254,,4447.54,,0,6267643730648534904,,B,09:46:59,17.560,254,203,
JBH,20130510,10:03:49.628,DELETE,,,,,,0,,6267643730648565836,A,,,,,299
JBH,20130510,10:03:49.639,ENTER,16.660,34,0,566.44,,0,,6267643730648569670,A,,,,,299
JBH,20130510,10:03:50.100,AMEND,17.170,427,,7331.59,,0,6267643730648534912,,B,09:46:59,17.170,141,150,
JBH,20130510,10:03:50.220,ENTER,17.380,190,0,3302.2,,0,6267643730648569695,,B,,,,203,
JBH,20130510,10:03:50.259,ENTER,17.040,2000,0,34080,,0,,6267643730648569696,A,,,,,638
JBH,20130510,10:03:51.255,ENTER,17.420,120,0,2090.4,,0,6267643730648569724,,B,,,,366,
JBH,20130510,10:04:03.930,AMEND,17.120,427,,7310.24,,0,6267643730648534912,,B,09:46:59,17.170,427,150,
JBH,20130510,10:04:05.038,ENTER,17.010,248,0,4218.48,,0,6267643730648570106,,B,,,,203,
JBH,20130510,10:04:05.040,AMEND,17.010,1073,,18251.73,,0,,6267643730648534898,A,09:46:58,17.000,1076,,150
JBH,20130510,10:04:05.143,AMEND,17.520,254,,4450.08,,0,6267643730648534904,,B,09:46:59,17.510,254,203,
JBH,20130510,10:04:06.101,DELETE,,,,,,0,6267643730648570106,,B,,,,203,
JBH,20130510,10:04:06.103,AMEND,17.000,1073,,18241,,0,,6267643730648534898,A,09:46:58,17.010,1073,,150
JBH,20130510,10:04:06.154,AMEND,17.510,254,,4447.54,,0,6267643730648534904,,B,09:46:59,17.520,254,203,
JBH,20130510,10:04:06.673,ENTER,17.010,245,0,4167.45,,0,6267643730648570162,,B,,,,203,
JBH,20130510,10:04:06.674,AMEND,17.010,1070,,18200.7,,0,,6267643730648534898,A,09:46:58,17.000,1073,,150
JBH,20130510,10:04:07.145,AMEND,17.520,254,,4450.08,,0,6267643730648534904,,B,09:46:59,17.510,254,203,
JBH,20130510,10:04:07.737,DELETE,,,,,,0,6267643730648570162,,B,,,,203,
JBH,20130510,10:04:07.739,AMEND,17.000,1070,,18190,,0,,6267643730648534898,A,09:46:58,17.010,1070,,150
JBH,20130510,10:04:08.155,AMEND,17.510,254,,4447.54,,0,6267643730648534904,,B,09:46:59,17.520,254,203,
JBH,20130510,10:04:08.303,ENTER,17.010,242,0,4116.42,,0,6267643730648570206,,B,,,,203,
JBH,20130510,10:04:08.305,AMEND,17.010,1067,,18149.67,,0,,6267643730648534898,A,09:46:58,17.000,1070,,150
JBH,20130510,10:04:08.652,AMEND,17.520,254,,4450.08,,0,6267643730648534904,,B,09:46:59,17.510,254,203,
